iaa_order_number,partner,iaa_start_date,iaa_end_date,issuer,friendly_name,year_month,year_month_readable,iaa_ial1_unique_users,iaa_ial2_unique_users,iaa_unique_users,partner_ial2_unique_user_events_year1,partner_ial2_unique_user_events_year2,partner_ial2_unique_user_events_year3,partner_ial2_unique_user_events_year4,partner_ial2_unique_user_events_year5,partner_ial2_unique_user_events_year_greater_than_5,partner_ial2_unique_user_events_unknown,partner_ial2_new_unique_user_events_year1_upfront,partner_ial2_new_unique_user_events_year1_existing,partner_ial2_new_unique_user_events_year1,partner_ial2_new_unique_user_events_year2,partner_ial2_new_unique_user_events_year3,partner_ial2_new_unique_user_events_year4,partner_ial2_new_unique_user_events_year5,partner_ial2_new_unique_user_events_year_greater_than_5,partner_ial2_new_unique_user_events_unknown,issuer_ial2_unique_user_events_year1,issuer_ial2_unique_user_events_year2,issuer_ial2_unique_user_events_year3,issuer_ial2_unique_user_events_year4,issuer_ial2_unique_user_events_year5,issuer_ial2_unique_user_events_year_greater_than_5,issuer_ial2_unique_user_events_unknown,issuer_ial2_new_unique_user_events_year1_upfront,issuer_ial2_new_unique_user_events_year1_existing,issuer_ial2_new_unique_user_events_year1,issuer_ial2_new_unique_user_events_year2,issuer_ial2_new_unique_user_events_year3,issuer_ial2_new_unique_user_events_year4,issuer_ial2_new_unique_user_events_year5,issuer_ial2_new_unique_user_events_year_greater_than_5,issuer_ial2_new_unique_user_events_unknown,issuer_ial1_total_auth_count,issuer_ial2_total_auth_count,issuer_ial1_plus_2_total_auth_count,issuer_ial1_unique_users,issuer_ial2_unique_users,issuer_unique_users
Order_1,Partner_1,12/1/24,8/31/25,Issuer_5,Office_4,202412,December-25,11430.00,339,11738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2621,1607,4227,1223,327,1532
Order_1,Partner_1,12/1/24,8/31/25,Issuer_5,Office_4,202501,January-25,26313.00,392,26677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2593,2137,4730,1200,377,1562
Order_1,Partner_1,12/1/24,8/31/25,Issuer_5,Office_4,202502,February-25,29680.00,304,29955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1493,1250,2743,742,288,1015
Order_1,Partner_1,12/1/24,8/31/25,Issuer_5,Office_4,202503,March-25,32500.00,311,32779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,1274,2810,745,295,1021
Order_1,Partner_1,12/1/24,8/31/25,Issuer_5,Office_4,202504,April-25,38759.00,349,39092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1385,1756,3140,634,339,961
Order_1,Partner_1,12/1/24,8/31/25,Issuer_5,Office_4,202505,May-25,31832.00,305,32107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1211,1179,2389,588,296,863
Order_1,Partner_1,12/1/24,8/31/25,Issuer_5,Office_4,202506,June-25,16490.00,276,16747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165,984,2149,583,264,838
Order_1,Partner_1,12/1/24,8/31/25,Issuer_5,Office_4,202507,July-25,18187.00,343,18514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1249,1801,3050,586,333,909
Order_1,Partner_1,12/1/24,8/31/25,Issuer_5,Office_4,202508,August-25,14813.00,262,15057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834,1115,1948,415,253,658
Order_1,Partner_1,12/1/24,8/31/25,Issuer_6,Office_5,202412,December-25,11430.00,339,11738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19890,0,19890,10206,0,10206
Order_1,Partner_1,12/1/24,8/31/25,Issuer_6,Office_5,202501,January-25,26313.00,392,26677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42264,0,42264,25113,0,25113
Order_1,Partner_1,12/1/24,8/31/25,Issuer_6,Office_5,202502,February-25,29680.00,304,29955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46120,0,46120,28937,0,28937
Order_1,Partner_1,12/1/24,8/31/25,Issuer_6,Office_5,202503,March-25,32500.00,311,32779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50887,0,50887,31756,0,31756
Order_1,Partner_1,12/1/24,8/31/25,Issuer_6,Office_5,202504,April-25,38759.00,349,39092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59464,0,59464,38125,0,38125
Order_1,Partner_1,12/1/24,8/31/25,Issuer_6,Office_5,202505,May-25,31832.00,305,32107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50406,0,50406,31244,0,31244
Order_1,Partner_1,12/1/24,8/31/25,Issuer_6,Office_5,202506,June-25,16490.00,276,16747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29964,0,29964,15907,0,15907
Order_1,Partner_1,12/1/24,8/31/25,Issuer_6,Office_5,202507,July-25,18187.00,343,18514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30677,0,30677,17435,0,17435
Order_1,Partner_1,12/1/24,8/31/25,Issuer_6,Office_5,202508,August-25,14813.00,262,15057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24466,0,24466,14188,0,14188
Order_2,Partner_1,9/1/25,8/31/26,Issuer_1,Office_1,202509,September-25,399568.00,1430,400945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,269,4,0,4
Order_2,Partner_1,9/1/25,8/31/26,Issuer_1,Office_1,202510,October-25,385554.00,1028,386524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,113,4,0,4
Order_2,Partner_1,9/1/25,8/31/26,Issuer_1,Office_1,202511,November-25,89428.00,138,89560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0,1
Order_2,Partner_1,9/1/25,8/31/26,Issuer_2,Office_2,202509,September-25,399568.00,1430,400945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1674,0,1674,232,0,232
Order_2,Partner_1,9/1/25,8/31/26,Issuer_2,Office_2,202510,October-25,385554.00,1028,386524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2086,0,2086,301,0,301
Order_2,Partner_1,9/1/25,8/31/26,Issuer_2,Office_2,202511,November-25,89428.00,138,89560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,215,107,0,107
Order_2,Partner_1,9/1/25,8/31/26,Issuer_3,Office_3,202509,September-25,399568.00,1430,400945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104841,2591,1107433,380960,1173,382125
Order_2,Partner_1,9/1/25,8/31/26,Issuer_3,Office_3,202510,October-25,385554.00,1028,386524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1217822,1429,1219252,365391,704,366086
Order_2,Partner_1,9/1/25,8/31/26,Issuer_3,Office_3,202511,November-25,89428.00,138,89560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122785,99,122885,87018,58,87077
Order_2,Partner_1,9/1/25,8/31/26,Issuer_4,Office_4,202509,September-25,4426842.00,921391,4428330,925096,611,0,0,0,0,0,650409,4319,654728,415,0,0,0,0,0,925096,611,0,0,0,0,0,650409,4319,654728,415,0,0,0,0,0,8958745,1911527,10870272,4426842,921391,4428330
Order_2,Partner_1,9/1/25,8/31/26,Issuer_4,Office_4,202510,October-25,5991870.00,1194463,5993545,1199215,1164,0,0,0,0,0,789415,6965,796380,796,0,0,0,0,0,1199215,1164,0,0,0,0,0,789415,6965,796380,796,0,0,0,0,0,11469938,2413702,13883640,5991870,1194463,5993545
Order_2,Partner_1,9/1/25,8/31/26,Issuer_4,Office_4,202511,November-25,932368.00,195903,932689,199491,193,0,0,0,0,0,91625,765,92390,89,0,0,0,0,0,201876,193,0,0,0,0,0,92902,775,93677,89,0,0,0,0,0,1311169,289860,1601029,940884,197847,941209
Order_2,Partner_1,9/1/25,8/31/26,Issuer_5,Office_4,202509,September-25,399568.00,1430,400945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,978,990,1969,473,250,709
Order_2,Partner_1,9/1/25,8/31/26,Issuer_5,Office_4,202510,October-25,385554.00,1028,386524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1296,1429,2726,621,313,921
Order_2,Partner_1,9/1/25,8/31/26,Issuer_5,Office_4,202511,November-25,89428.00,138,89560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,98,220,91,72,163
Order_2,Partner_1,9/1/25,8/31/26,Issuer_6,Office_5,202509,September-25,399568.00,1430,400945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30954,0,30954,18959,0,18959
Order_2,Partner_1,9/1/25,8/31/26,Issuer_6,Office_5,202510,October-25,385554.00,1028,386524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33151,0,33151,20376,0,20376
Order_2,Partner_1,9/1/25,8/31/26,Issuer_6,Office_5,202511,November-25,89428.00,138,89560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3211,0,3211,2287,0,2287
,,,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
