iaa_order_number,partner,iaa_start_date,iaa_end_date,issuer,friendly_name,year_month,year_month_readable,iaa_ial1_unique_users,iaa_ial2_unique_users,iaa_unique_users,partner_ial2_unique_user_events_year1,partner_ial2_unique_user_events_year2,partner_ial2_unique_user_events_year3,partner_ial2_unique_user_events_year4,partner_ial2_unique_user_events_year5,partner_ial2_unique_user_events_year_greater_than_5,partner_ial2_unique_user_events_unknown,partner_ial2_new_unique_user_events_year1_upfront,partner_ial2_new_unique_user_events_year1_existing,partner_ial2_new_unique_user_events_year1,partner_ial2_new_unique_user_events_year2,partner_ial2_new_unique_user_events_year3,partner_ial2_new_unique_user_events_year4,partner_ial2_new_unique_user_events_year5,partner_ial2_new_unique_user_events_year_greater_than_5,partner_ial2_new_unique_user_events_unknown,issuer_ial2_unique_user_events_year1,issuer_ial2_unique_user_events_year2,issuer_ial2_unique_user_events_year3,issuer_ial2_unique_user_events_year4,issuer_ial2_unique_user_events_year5,issuer_ial2_unique_user_events_year_greater_than_5,issuer_ial2_unique_user_events_unknown,issuer_ial2_new_unique_user_events_year1_upfront,issuer_ial2_new_unique_user_events_year1_existing,issuer_ial2_new_unique_user_events_year1,issuer_ial2_new_unique_user_events_year2,issuer_ial2_new_unique_user_events_year3,issuer_ial2_new_unique_user_events_year4,issuer_ial2_new_unique_user_events_year5,issuer_ial2_new_unique_user_events_year_greater_than_5,issuer_ial2_new_unique_user_events_unknown,issuer_ial1_total_auth_count,issuer_ial2_total_auth_count,issuer_ial1_plus_2_total_auth_count,issuer_ial1_unique_users,issuer_ial2_unique_users,issuer_unique_users
Order_1,Partner_1,12/1/24,8/31/25,Issuer_1,Office_1,202507,July-25,18187.00,343,18514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,56,4,0,4
Order_1,Partner_1,12/1/24,8/31/25,Issuer_1,Office_1,202508,August-25,14813.00,262,15057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,112,3,0,3
Order_1,Partner_1,12/1/24,8/31/25,Issuer_2,Office_2,202507,July-25,18187.00,343,18514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623,0,623,167,0,167
Order_1,Partner_1,12/1/24,8/31/25,Issuer_2,Office_2,202508,August-25,14813.00,262,15057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1618,0,1618,209,0,209
Order_1,Partner_1,12/1/24,8/31/25,Issuer_4,Office_4,202412,December-25,6612785.00,227588,6613626,144971,47616,27763,8859,292,34,0,32704,39183,71887,22337,13688,4436,164,28,0,144971,47616,27763,8859,292,34,0,32705,39181,71887,22337,13688,4436,164,28,0,13103099,476226,13579326,6612785,227588,6613626
Order_1,Partner_1,12/1/24,8/31/25,Issuer_4,Office_4,202501,January-25,7165954.00,256569,7166438,164623,51859,31602,10468,383,48,0,33128,36420,69549,21117,13123,4467,212,37,0,164623,51859,31602,10468,383,48,0,33130,36419,69549,21117,13123,4467,212,37,0,14594654,566739,15161393,7165954,256569,7166438
Order_1,Partner_1,12/1/24,8/31/25,Issuer_4,Office_4,202502,February-25,5819194.00,209680,5819429,138564,38500,24517,8742,475,55,0,28323,34417,62739,15796,10406,3849,309,39,0,138564,38500,24517,8742,475,55,0,28323,34416,62739,15796,10406,3849,309,39,0,11531422,442627,11974049,5819194,209680,5819429
Order_1,Partner_1,12/1/24,8/31/25,Issuer_4,Office_4,202503,March-25,7614350.00,258482,7614593,206515,40092,26834,9767,660,80,0,84491,33192,117683,15026,10405,3944,439,58,0,206515,40092,26834,9767,660,80,0,84493,33190,117683,15026,10405,3944,439,58,0,15697854,573922,16271775,7614350,258482,7614593
Order_1,Partner_1,12/1/24,8/31/25,Issuer_4,Office_4,202504,April-25,6332554.00,141243,6333535,141351,16,4,0,0,0,0,108829,3416,112245,12,1,0,0,0,0,141351,16,4,0,0,0,0,108829,3416,112245,12,1,0,0,0,0,13151759,346221,13497980,6332554,141243,6333535
Order_1,Partner_1,12/1/24,8/31/25,Issuer_4,Office_4,202505,May-25,5062432.00,127707,5062753,127782,64,0,0,0,0,0,72785,2860,75645,60,0,0,0,0,0,127782,64,0,0,0,0,0,72785,2860,75645,60,0,0,0,0,0,10695783,311717,11007500,5062432,127707,5062753
Order_1,Partner_1,12/1/24,8/31/25,Issuer_4,Office_4,202506,June-25,4423960.00,536025,4425944,537542,142,1,0,0,0,0,474903,3002,477905,117,0,0,0,0,0,537542,142,1,0,0,0,0,474903,3002,477905,117,0,0,0,0,0,9323275,1039219,10362494,4423960,536025,4425944
Order_1,Partner_1,12/1/24,8/31/25,Issuer_4,Office_4,202507,July-25,4732524.00,782701,4734456,785462,281,1,0,0,0,0,633264,3613,636877,212,1,0,0,0,0,785462,281,1,0,0,0,0,633264,3613,636877,212,1,0,0,0,0,9754426,1595972,11350398,4732524,782701,4734456
Order_1,Partner_1,12/1/24,8/31/25,Issuer_4,Office_4,202508,August-25,4624516.00,800087,4626084,802512,474,0,1,0,0,0,573833,4333,578166,354,0,1,0,0,0,802512,474,0,1,0,0,0,573833,4333,578166,354,0,1,0,0,0,9405030,1672644,11077674,4624516,800087,4626084
